date,cnt,min_pop,max_pop,avg_pop,full_date,post-punk,post-rock,rock,punk,rap,edm,prog-rock,dubstep,noise,pop,experimental,house,single,album
19,14,0,93,385,2024-04-19,1,1,1,2,1,2,1,0,1,1,2,1,12,2,
16,2,32,55,87,2024-04-16,0,1,0,1,0,0,0,0,0,0,0,0,2,0,
12,11,42,75,656,2024-04-12,1,0,0,2,2,3,1,0,1,0,0,1,9,2,
10,1,58,58,58,2024-04-10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
05,13,57,90,926,2024-04-05,1,1,1,0,0,1,0,3,3,2,0,1,8,5,
03,3,70,77,217,2024-04-03,0,1,0,1,0,0,0,0,0,0,1,0,3,0,
29,9,52,79,582,2024-03-29,1,0,0,2,1,1,0,0,1,0,1,2,7,2,
26,1,53,53,53,2024-03-26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
22,11,37,86,696,2024-03-22,2,0,0,0,4,0,1,2,0,2,0,0,4,7,
20,1,64,64,64,2024-03-20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
21,2,66,66,132,2024-03-21,0,0,1,0,0,0,0,0,0,0,0,1,2,0,
14,4,55,75,249,2024-03-14,0,0,0,0,0,0,0,0,1,0,1,2,3,1,
07,1,67,67,67,2024-03-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
11,3,51,59,167,2024-04-11,1,0,0,1,0,1,0,0,0,0,0,0,3,0,
04,3,60,71,201,2024-04-04,0,1,0,1,0,0,1,0,0,0,0,0,3,0,
27,1,74,74,74,2024-03-27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
25,1,68,68,68,2024-03-25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
28,3,37,58,148,2024-03-28,0,0,0,0,0,0,1,1,0,1,0,0,3,0,
15,11,41,83,661,2024-03-15,0,0,1,1,0,2,1,0,0,3,2,1,8,3,
13,3,50,62,169,2024-03-13,0,0,0,1,0,1,0,0,0,1,0,0,3,0,
08,2,49,66,115,2024-03-08,0,0,0,0,0,0,0,0,2,0,0,0,2,0,
