market,count
AR,96
BE,96
BR,96
CA,95
CL,96
CO,96
CR,96
CY,96
DK,96
DE,95
EC,96
EE,96
SV,96
GT,96
HN,96
IS,96
IE,96
LV,96
LU,96
MX,96
NL,96
NZ,94
NO,96
PE,96
PT,96
ES,96
CH,95
TW,95
TR,96
UY,96
LI,96
ZA,96
BH,96
QA,96
OM,96
KW,96
DZ,96
TN,96
JO,96
UA,96
BA,96
ME,96
SI,96
KR,96
BD,96
LK,96
NG,96
TZ,96
AG,96
BS,96
BB,96
BT,96
BW,96
CV,96
CW,96
DM,96
FJ,96
GE,96
GD,96
HT,96
JM,96
KI,96
MV,96
MH,96
FM,96
NA,96
NE,96
PW,96
PR,71
WS,96
SM,96
ST,96
SC,96
SL,96
TO,96
TV,96
VU,96
BN,96
BI,96
GQ,96
GN,96
LA,96
MO,95
MR,96
NP,96
UZ,96
ZW,96
BJ,96
MG,96
MZ,96
CI,96
DJ,96
ZM,96
CD,96
CG,96
IQ,96
LY,96
ET,96
XK,96
AU,93
AT,95
BO,96
BG,96
CZ,96
DO,96
FI,96
FR,96
GR,96
HK,95
HU,96
IT,96
LT,96
MY,96
MT,96
NI,96
PA,96
PY,96
PH,96
PL,96
SG,96
SK,96
SE,95
US,96
GB,96
AD,96
MC,96
ID,96
JP,95
TH,96
VN,96
RO,96
IL,95
SA,96
AE,96
EG,96
MA,96
LB,96
PS,96
IN,96
BY,49
KZ,96
MD,96
AL,96
HR,96
MK,96
RS,96
PK,96
GH,96
KE,96
UG,96
AM,96
BZ,96
BF,96
GM,96
GW,96
GY,96
LS,96
LR,96
MW,96
ML,96
NR,96
PG,96
SN,96
SB,96
KN,96
LC,96
VC,96
SR,96
TL,96
TT,96
AZ,96
KH,96
CM,96
TD,96
KM,96
SZ,96
GA,96
KG,96
MN,96
RW,96
TG,96
MU,96
AO,96
TJ,96
VE,96
